date,,timestamp,open,high,low,close,volume,test,date,time,vwap
2021-04-13,90,2021-04-13 10:30:00+05:30,733.65,733.95,729.35,731.15,830133,0,2021-04-13,10:30:00+05:30,732.4285325140694
2021-04-13,91,2021-04-13 10:35:00+05:30,731.15,736.0,730.8,732.8,390914,0,2021-04-13,10:35:00+05:30,732.4366763932849
2021-04-13,92,2021-04-13 10:40:00+05:30,732.8,732.8,724.3,725.9,774304,0,2021-04-13,10:40:00+05:30,732.1646340527402
2021-04-13,93,2021-04-13 10:45:00+05:30,725.4,729.55,723.0,726.9,623575,0,2021-04-13,10:45:00+05:30,731.9939049541326
2021-04-13,94,2021-04-13 10:50:00+05:30,727.05,727.5,720.55,721.25,601535,0,2021-04-13,10:50:00+05:30,731.667996393785
2021-04-13,95,2021-04-13 10:55:00+05:30,721.0,724.55,718.55,723.4,657750,0,2021-04-13,10:55:00+05:30,731.4025587956322
2021-04-13,96,2021-04-13 11:00:00+05:30,723.1,728.5,722.1,724.0,528540,0,2021-04-13,11:00:00+05:30,731.2163932299096
2021-04-13,97,2021-04-13 11:05:00+05:30,724.3,724.3,719.15,721.3,335753,0,2021-04-13,11:05:00+05:30,731.0604631305401
2021-04-13,98,2021-04-13 11:10:00+05:30,721.3,723.5,716.8,717.3,455267,0,2021-04-13,11:10:00+05:30,730.7731913520288
2021-04-13,99,2021-04-13 11:15:00+05:30,718.0,720.0,715.0,718.45,637949,0,2021-04-13,11:15:00+05:30,730.422939461543
2021-04-13,100,2021-04-13 11:20:00+05:30,718.05,718.3,715.0,715.7,327983,0,2021-04-13,11:20:00+05:30,730.2108998434186
2021-04-13,101,2021-04-13 11:25:00+05:30,715.7,715.7,711.0,712.15,780750,0,2021-04-13,11:25:00+05:30,729.6122360401866
2021-04-13,102,2021-04-13 11:30:00+05:30,712.4,713.0,704.0,706.9,1109657,0,2021-04-13,11:30:00+05:30,728.5903848882847
2021-04-13,103,2021-04-13 11:35:00+05:30,706.9,713.6,705.6,709.5,1042501,0,2021-04-13,11:35:00+05:30,727.816189470862
2021-04-13,104,2021-04-13 11:40:00+05:30,709.55,710.85,706.55,710.0,575776,0,2021-04-13,11:40:00+05:30,727.4258812136076
2021-04-13,105,2021-04-13 11:45:00+05:30,710.3,717.8,710.1,713.85,1009701,0,2021-04-13,11:45:00+05:30,726.9236218259555
2021-04-13,106,2021-04-13 11:50:00+05:30,713.8,716.75,710.0,715.95,610364,0,2021-04-13,11:50:00+05:30,726.6835725211631
2021-04-13,107,2021-04-13 11:55:00+05:30,715.95,718.6,712.0,712.55,601294,0,2021-04-13,11:55:00+05:30,726.3854184648379
